Sample	Pararnavirae	Other	Unclassified
UCT113H	nan	250.0	3.0
UCT113H_kraken2	nan	250.0	3.0
UCT30H	nan	88.0	1.0
UCT30H_kraken2	nan	88.0	1.0
UCT32H	nan	56.0	1.0
UCT32H_kraken2	nan	56.0	1.0
UCT35H	nan	30.0	3.0
UCT35H_kraken2	nan	30.0	3.0
UCT50H	nan	86.0	4.0
UCT50H_kraken2	nan	86.0	4.0
UCT92H	nan	61.0	1.0
UCT92H_kraken2	nan	61.0	1.0
UNY1083P	1.0	156.0	69.0
UNY1083P_kraken2	1.0	156.0	69.0
UNY1128P	nan	263.0	14.0
UNY1128P_kraken2	nan	263.0	14.0
URI112H	nan	83.0	2.0
URI112H_kraken2	nan	83.0	2.0
URI117H	nan	158.0	2.0
URI117H_kraken2	nan	158.0	2.0
URI33H	nan	43.0	1.0
URI33H_kraken2	nan	43.0	1.0
URI34H	nan	78.0	1.0
URI34H_kraken2	nan	78.0	1.0
URI36H	nan	49.0	4.0
URI36H_kraken2	nan	49.0	4.0
URI40H	nan	81.0	1.0
URI40H_kraken2	nan	81.0	1.0
URI44H	nan	74.0	1.0
URI44H_kraken2	nan	74.0	1.0
URI45H	nan	347.0	3.0
URI45H_kraken2	nan	347.0	3.0
URI46H	nan	94.0	1.0
URI46H_kraken2	nan	94.0	1.0
URI48H	nan	21.0	1.0
URI48H_kraken2	nan	21.0	1.0
URI89H	nan	84.0	1.0
URI89H_kraken2	nan	84.0	1.0
XYZ459H	nan	22.0	2.0
XYZ459H_kraken2	nan	22.0	2.0
